text,label
네 갑자기 어제 그저께 됐던 것 같은데 오늘 아침에 돌리니까 안 되네요,0
주말 아니면은 저녁에 한 일곱 시 반쯤에나 오십니다,0
열두 시는 저희 그 점심시간이라 자리에 없거든요,0
예 티비가 어제 저녁부터 화면이 안 나오네요,0
제가 조금 있다 점심 땐 약속이 있어서요,0
저녁 늦게나 젤 마지막 시간에 해줄 수 있나요,0
안 된다고 그럼 금요일 아침은요,0
그러면요 고객님 죄송한데 일단은 정상적으로 저희가 제품을 아침에 틀 때요,0
평소대로 그냥 잘 되다가요 아침에 뭐 긴급 통화 된다고 그러더니요,0
등록 하고 애한테 폰 주니까 아침에 알람이 울리는 거도 수상하고,0
다 녹았네요 보니까 아침에 보니까,0
노트북 때문에 가는데 점심시간 따로 있나 해서요,0
동대구점은 점심시간 따로 없습니다.,0
점심시간은 없다고 했죠,0
네 오전 열시부터 저녁 여섯시까지 수리 가능합니다,0
예 어제 저 티비를 했는데 아침에 케이블 티비 저거하고 전화 통화를 한다고 그래서 했어요,0
지금 고장난 지 좀 됐어요 어제 저녁에 고장났거든요,0
네네 아침에 전화드리고요,0
지금 아침에 티비를 틀면 소리가 안 들려서요,0
그 부분이 음식물로 막히지 않도록 조금 떼서 음식을 놔주시구요,0
그때는 집에 아무도 없어서 좀 힘들고요 오늘 저녁엔 안 될까요,0
그러셨군요 음식 때문에 걱정 많으실테요,0
내일 아침 가능한가요,0
기사는 당일 아침에 지정이 되어 고객님께 연락을 드리고 있습니다,0
근데 아침에 킨 게 아니라 새벽부터 계속 그래가지고요 어떡하죠,0
차단기도 아침에 한번 내렸다가 한 십 분 있다가 올렸는데 그래도 바람이 안 나오니까요,0
아침 오전 아홉 시에서 열 시 사이 빠른 날이 언제죠,0
정말 뜬금없이 아침 일곱 시에 알람 소리가 나는 거예요,0
그럼 오늘 점심 때 열 두 시 가능한가요,0
아침 아홉 시 이십 분도 있는데 이 시간도 괜찮으세요,0
빨리 좀 보내줘 보세요 아침에 오시기로 했었거든요,0
음식물 보관하실 다른 냉장고가 있으신가요,0
오늘 점심 쯤에 가능할까요,0
세탁기를 지금 어제 저녁에 하다가 끄고 지금 다시 하는 건데 어제는 됐거든요,0
텔레비전이 어제까지 멀쩡했었는데 아침에 딱 키니까 팬 돌아가는 소리가 들려요,0
네 여기 남양주에 있는 모텔인데요 아침에 전기 메인선을요,0
그래서 이십 오 도로 맞춰 놨더니 아침에 들어와 보니까요,0
저녁 열 시 이후에 다시 돌아오는데 되도록 빨리 와줄 수 있나요,0
낮에는 사람이 없어서 저녁으로 부탁합니다,0
저희는 열 한 시 십 분 좀 넘으면 식사 시간이라서요,0
기사님이 저녁 시간에는 방문이 힘드신가요,0
그리고 저녁으로 하게 되시면 출장비가 좀 더 발생이 되실 거예요,0
그러십니까 음식 때문에 걱정 많으시겠습니다 고객님,0
열두 시면 저희가 점심시간인데 다른 시간은 없어요,0
토요일 아침에도 괜찮아요,0
아침에 상담해보니까 홈페이지 들어가는 법을 문자로 준댔어요,0
네 그 때는 저희가 점심시간이라서요,0
알겠습니다 월요일 아침부터 에너지가 너무 좋으시네요 감사합니다,0
네 고객님 혹시 점심시간 피해서 두 시 이십 분 혹시 괜찮으실까요,0
점심시간 걸리는 거죠,0
예 아니 엊저녁까지도 잘 봤는데 아침에 일어나서 티비를 틀으니까요,0
아침에 일어나서 틀으니깐 네 군데는 나오는데 딱 그 육 번이 안 나와,0
네 아침에 그 티비 고장난 거 땜에 접수를 했는데요,0
점심 시간에는 안 될까요,0
점심 시간 대는 방문이 쫌 어려울 것 같아요,0
네 시 쪼끔 늦는데 네 시보다 한 시간 아니면 점심 시간에 안 될까요,0
저녁 여덟 시 이후로는 없나요,0
고객님 가끔 안에 음식물 때문에 밀려서 안 닫힐 수 있는데요,0
확인해 봤는데 음식물은 없어요,0
네 점심 전이라 좋겠네요,0
확인했을 때는 지금 업체 측에서 어제 저녁 날짜로 출고되었는데요,0
아니면 냉장고에 안에 든 음식물만 꺼내면 그게 가능한 거예요,0
예 음식물만 꺼내면 되는 거죠 고객님,0
네 그게 배송 시킨게 어제 저녁에 출고 됐다는데 아직도 안와서요,0
예 일단 따로 음식물을 보관 하실 수 있는 곳이 있으면요,0
오늘 여섯 시 안으로는 다 괜찮아요 점심 시간 전도 좋고요,0
지금 냉장고에 음식이 안 차가워지거든요,0
그건 했죠 어저께 저녁부터 안 안돼서요 밑에 버튼을 다 꺼버렸어요,0
그 안에 있는 음식이 쉬는 것 같아가지구요,0
늦은 시간은 안돼요 저녁에 시간 저녁에 늦게까지 밖에 안 돼서요,0
평일 저녁 늦게는 어려우세요,0
네 감사합니다 고객님 즐거운 저녁 보내세요,0
이거 안에 있는 음식물을 다른 냉장고로 전부 옮겨 주시고요,0
그러믄 사용 못하면 오늘은 저녁에 늦게만 시간이 돼서요,0
어제 저녁 날짜로 저희가 환불 처리되었구요,0
내일 아침에 해주시구요,0
맞으시구여 저희 그럼 이월 팔일날 기사가 아침에 전화 드릴거구요,0
저녁 네시에 오신단 말이죠,0
그래도 음식이 얼면 그때는 기사가 방문 해봐야 될거 같거든여 고객님,0
그래도 음식이 얼면 그때는 기사가 방문 해봐야 될거 같거든여 고객님,0
